Epoch:1/1000, hm:172.54347, ciou:0.79262, lm:72.20795, total:183.72754
Epoch:2/1000, hm:6.37821, ciou:0.68932, lm:62.60279, total:16.08509
Epoch:3/1000, hm:4.55754, ciou:0.62316, lm:57.29733, total:13.40307
Epoch:4/1000, hm:3.71661, ciou:0.57578, lm:53.37045, total:11.93254
Epoch:5/1000, hm:3.22715, ciou:0.53754, lm:47.84950, total:10.69981
Epoch:6/1000, hm:2.96645, ciou:0.50850, lm:43.60120, total:9.86906
Epoch:7/1000, hm:2.75592, ciou:0.49364, lm:40.83854, total:9.30797
Epoch:8/1000, hm:2.51949, ciou:0.47472, lm:38.34851, total:8.72791
Epoch:9/1000, hm:2.49038, ciou:0.46059, lm:36.44128, total:8.43746
Epoch:10/1000, hm:2.32515, ciou:0.44450, lm:34.64597, total:8.01225
Epoch:11/1000, hm:2.25222, ciou:0.43155, lm:33.54495, total:7.76448
Epoch:12/1000, hm:2.10910, ciou:0.42122, lm:32.31625, total:7.44683
Epoch:13/1000, hm:2.10259, ciou:0.41739, lm:31.38285, total:7.32783
Epoch:14/1000, hm:1.98639, ciou:0.40513, lm:30.43378, total:7.05543
Epoch:15/1000, hm:1.93555, ciou:0.40071, lm:29.96199, total:6.93528
Epoch:16/1000, hm:1.92095, ciou:0.39636, lm:29.49395, total:6.85214
Epoch:17/1000, hm:1.88902, ciou:0.39483, lm:28.75984, total:6.73917
Epoch:18/1000, hm:1.86553, ciou:0.38833, lm:28.47512, total:6.65467
Epoch:19/1000, hm:1.78071, ciou:0.38031, lm:27.82671, total:6.46494
Epoch:20/1000, hm:1.81042, ciou:0.38343, lm:27.37272, total:6.46484
Epoch:21/1000, hm:1.77270, ciou:0.37910, lm:27.36625, total:6.40481
Epoch:22/1000, hm:1.74845, ciou:0.37636, lm:26.73977, total:6.30423
Epoch:23/1000, hm:1.69776, ciou:0.37422, lm:26.81955, total:6.25081
Epoch:24/1000, hm:1.65939, ciou:0.36648, lm:26.19681, total:6.11145
Epoch:25/1000, hm:1.63952, ciou:0.36460, lm:26.11704, total:6.07420
Epoch:26/1000, hm:1.65996, ciou:0.36454, lm:26.02172, total:6.08485
Epoch:27/1000, hm:1.63413, ciou:0.36447, lm:25.73896, total:6.03038
Epoch:28/1000, hm:1.60572, ciou:0.35935, lm:25.55778, total:5.95825
Epoch:29/1000, hm:1.58002, ciou:0.35874, lm:24.99018, total:5.87275
Epoch:30/1000, hm:1.61973, ciou:0.35887, lm:24.70908, total:5.88500
Epoch:31/1000, hm:1.54939, ciou:0.35560, lm:24.80764, total:5.80816
Epoch:32/1000, hm:1.53339, ciou:0.35431, lm:24.94094, total:5.79903
Epoch:33/1000, hm:1.57237, ciou:0.35429, lm:24.79574, total:5.82338
Epoch:34/1000, hm:1.54538, ciou:0.35032, lm:24.32947, total:5.72993
Epoch:35/1000, hm:1.54946, ciou:0.35010, lm:24.03215, total:5.70320
Epoch:36/1000, hm:1.53647, ciou:0.35081, lm:24.22556, total:5.71308
Epoch:37/1000, hm:1.48118, ciou:0.34876, lm:23.95673, total:5.62065
Epoch:38/1000, hm:1.49003, ciou:0.34508, lm:23.72724, total:5.58817
Epoch:39/1000, hm:1.48689, ciou:0.34817, lm:23.83282, total:5.61103
Epoch:40/1000, hm:1.48863, ciou:0.34529, lm:23.44763, total:5.55982
Epoch:41/1000, hm:1.47701, ciou:0.34319, lm:23.76053, total:5.56899
Epoch:42/1000, hm:1.46182, ciou:0.34618, lm:23.26086, total:5.51879
Epoch:43/1000, hm:1.46701, ciou:0.33969, lm:23.36894, total:5.50234
Epoch:44/1000, hm:1.46322, ciou:0.34349, lm:23.29603, total:5.51026
Epoch:45/1000, hm:1.42048, ciou:0.33978, lm:22.95013, total:5.41441
Epoch:46/1000, hm:1.44740, ciou:0.34319, lm:23.28007, total:5.49136
Epoch:47/1000, hm:1.41878, ciou:0.33837, lm:22.97383, total:5.40803
Epoch:48/1000, hm:1.41167, ciou:0.33795, lm:23.02241, total:5.40363
Epoch:49/1000, hm:1.41649, ciou:0.33922, lm:22.85014, total:5.39759
Epoch:50/1000, hm:1.40889, ciou:0.33887, lm:22.74173, total:5.37739
Epoch:50/1000, Easy:0.85771, Medium:0.84267, Hard:0.67741
Epoch:51/1000, hm:1.60569, ciou:0.36522, lm:24.83075, total:31.47394
Epoch:52/1000, hm:1.41597, ciou:0.34318, lm:21.70630, total:27.67012
Epoch:53/1000, hm:1.38981, ciou:0.34048, lm:21.09981, total:26.97167
Epoch:54/1000, hm:1.35380, ciou:0.33447, lm:21.10046, total:26.83418
Epoch:55/1000, hm:1.32927, ciou:0.33520, lm:20.65457, total:26.31837
Epoch:56/1000, hm:1.32324, ciou:0.33042, lm:20.61776, total:26.23962
Epoch:57/1000, hm:1.33535, ciou:0.33321, lm:20.36791, total:26.04004
Epoch:58/1000, hm:1.32892, ciou:0.33257, lm:20.36522, total:26.01483
Epoch:59/1000, hm:1.30187, ciou:0.33144, lm:20.49683, total:26.05961
Epoch:60/1000, hm:1.30097, ciou:0.33013, lm:20.14514, total:25.69872
Epoch:60/1000, Easy:0.88709, Medium:0.86606, Hard:0.69327
Epoch:61/1000, hm:1.30093, ciou:0.33048, lm:20.22383, total:25.77902
Epoch:62/1000, hm:1.29774, ciou:0.33258, lm:20.15143, total:25.70755
Epoch:63/1000, hm:1.31545, ciou:0.33127, lm:20.29200, total:25.89470
Epoch:64/1000, hm:1.31525, ciou:0.33169, lm:20.34684, total:25.95108
Epoch:65/1000, hm:1.32217, ciou:0.32910, lm:19.98522, total:25.59724
Epoch:66/1000, hm:1.32299, ciou:0.32868, lm:20.11111, total:25.72351
Epoch:67/1000, hm:1.29383, ciou:0.33147, lm:20.15023, total:25.68908
Epoch:68/1000, hm:1.29156, ciou:0.32776, lm:19.94590, total:25.45939
Epoch:69/1000, hm:1.27865, ciou:0.33255, lm:20.13720, total:25.63590
Epoch:70/1000, hm:1.28278, ciou:0.32999, lm:19.80429, total:25.30257
Epoch:70/1000, Easy:0.88607, Medium:0.86697, Hard:0.69971
Epoch:71/1000, hm:1.28358, ciou:0.33020, lm:19.66010, total:25.16185
Epoch:72/1000, hm:1.26292, ciou:0.32867, lm:19.75555, total:25.18767
Epoch:73/1000, hm:1.28867, ciou:0.32601, lm:19.95405, total:25.45012
Epoch:74/1000, hm:1.27738, ciou:0.32926, lm:19.69856, total:25.17703
Epoch:75/1000, hm:1.28625, ciou:0.32935, lm:19.68192, total:25.18741
Epoch:76/1000, hm:1.26162, ciou:0.33010, lm:19.82158, total:25.25696
Epoch:77/1000, hm:1.28935, ciou:0.32957, lm:19.70774, total:25.22365
Epoch:78/1000, hm:1.27941, ciou:0.33038, lm:19.73686, total:25.22701
Epoch:79/1000, hm:1.28631, ciou:0.32850, lm:19.55034, total:25.05178
Epoch:80/1000, hm:1.26391, ciou:0.33060, lm:19.62309, total:25.06781
Epoch:80/1000, Easy:0.89227, Medium:0.87281, Hard:0.70081
Epoch:81/1000, hm:1.26554, ciou:0.33035, lm:19.67066, total:25.11903
Epoch:82/1000, hm:1.28169, ciou:0.32776, lm:19.55094, total:25.03479
Epoch:83/1000, hm:1.27815, ciou:0.32982, lm:19.38633, total:24.86989
Epoch:84/1000, hm:1.26157, ciou:0.32936, lm:19.41129, total:24.84281
Epoch:85/1000, hm:1.26497, ciou:0.32981, lm:19.55293, total:24.99691
Epoch:86/1000, hm:1.26538, ciou:0.32717, lm:19.32982, total:24.76181
Epoch:87/1000, hm:1.25131, ciou:0.32816, lm:19.48795, total:24.88272
Epoch:88/1000, hm:1.26356, ciou:0.32725, lm:19.32068, total:24.74761
Epoch:89/1000, hm:1.24327, ciou:0.32861, lm:19.28804, total:24.66087
Epoch:90/1000, hm:1.22509, ciou:0.32834, lm:19.21854, total:24.53557
Epoch:90/1000, Easy:0.89086, Medium:0.86851, Hard:0.70110
